src_geneid,trg_geneid
2495,29117
515,9551
90,23551
9070,3054
3187,10611
1135,1141
23641,26574
5931,57504
2275,3927
5595,6195
54512,55144
183,4879
84665,10529
9416,10291
6154,84172
6598,6599
513,123263
6218,6229
3837,3486
5981,2956
7756,9184
3320,3091
5292,27044
80324,123263
2261,57562
6230,2197
7046,51560
6235,2197
5886,84993
1435,3976
2028,10720
6628,1478
1477,6636
5562,5564
10213,10197
6128,6134
6461,6714
302,6277
2768,999
11214,5576
6210,6170
1152,387923
930,971
55090,80306
9440,9967
6164,6124
2806,80145
29993,29763
988,6427
64840,7475
7936,6829
5431,5437
6187,116832
5054,4035
1017,5112
2892,2893
4008,57120
268,2516
6188,6191
57512,728825
948,1277
64750,4086
6927,7182
2324,5228
10885,10846
4149,4611
5440,2972
6921,9978
6144,6201
55968,26017
6773,10379
5090,57085
53635,6709
9260,5590
91746,10656
5434,10421
8803,8802
3055,8976
27040,925
6188,55176
5966,5970
3866,60491
3159,5453
78987,222019
51652,3490
3188,10421
8353,55723
22883,54557
51617,53407
7329,9618
3172,2539
3175,56137
51602,6188
1026,595
2261,55819
4331,902
1796,5794
38,3158
3189,6191
135458,144715
9398,6767
6144,11040
3172,64786
6714,6774
5094,6431
672,5981
8233,11338
3135,3821
6192,6208
2896,3198
5162,10998
5425,5982
2739,22982
933,5335
79797,83755
367,4790
4852,4887
1440,7133
57609,84264
3172,51258
5359,54507
1387,5933
4168,6010
6195,6199
5196,7173
29888,2661
3091,7157
29889,54475
4654,3398
660,857
4904,51585
1964,8661
3106,6892
9270,4035
1915,6124
10181,10291
3611,207
952,5705
351,2597
5721,7314
3172,79042
4058,5894
55013,7704
3105,5238
5431,5093
2810,55093
4772,5292
5286,27106
8318,4171
3172,2948
641,4292
5599,5604
10969,51388
6210,9533
9645,126326
6161,6201
6850,5336
7554,4089
4172,8317
7320,9810
8562,86781
4089,8928
1399,5296
6635,3192
5053,51390
5204,10471
3697,3699
1742,55914
7067,9862
51108,81542
2010,10980
3172,10988
3175,81788
9416,6633
3383,3385
3554,8808
3146,3148
11244,23051
6209,8667
23404,92856
60,23214
6709,10078
3172,6843
8148,6872
5684,5718
3172,25906
367,2597
6433,29105
22916,1977
1944,1945
6670,1869
9342,23673
994,9133
8204,8850
509,10476
9669,51187
6456,8867
81620,7311
5436,1025
5692,5702
4609,51164
5719,7316
51151,90441
4116,5093
6635,51692
6210,9045
5609,6464
54544,7431
118460,51013
6125,83480
6634,51631
4540,4541
22938,23450
533,90423
6156,6201
1742,2904
6927,22879
4089,140901
80007,10989
5054,7450
6426,51362
2036,2037
9939,1977
1958,6667
991,8881
5595,3091
6396,89866
6227,6228
811,8578
6134,9045
5439,8106
51319,57180
730,51133
2068,2068
1024,80306
4087,51176
4173,84515
5709,7314
6202,1977
213,5544
5426,6117
2670,6295
4115,117246
1601,23181
5037,5604
1660,6627
4811,3339
2160,5345
5256,5836
2033,7337
1470,10735
4629,10357
5710,11228
6749,6092
10273,2064
8882,1915
3234,3235
5437,6428
79833,6637
2107,6134
5469,5430
328,4968
23607,2885
2647,79036
353,29789
9482,29062
23072,6748
999,6210
5685,5721
344,2067
8666,1983
7046,112483
1017,4176
23753,51726
4793,6421
10320,10284
6432,6636
958,3684
1288,4318
5654,196294
3455,10399
7224,3710
7531,4215
5947,3065
351,10513
3692,5204
100133941,5788
4217,7295
1649,51171
5433,6432
3276,3609
2058,79711
5321,50640
6117,8317
1305,4811
55823,65082
