geneid,ab40
460,0.256419867
462,0.517158048
463,-8.3245495
466,1.877312357
467,-1.503456801
471,-0.310449407
472,-0.33075042
473,0.331209331
476,2.234507722
477,0.387075284
478,-0.024120982
479,-1.323769048
481,-1.860135186
482,0.088321655
483,-0.067240741
487,0.308642901
488,-0.833810328
490,0.123546888
492,-0.027054559
493,-0.57802964
496,-2.360394392
498,0.748504252
501,-0.745801747
506,-0.695431964
509,0.523436955
513,-2.849079493
514,1.293787391
515,-0.695907737
517,1.555940144
518,-1.871693322
521,0.038558266
522,1.141273229
523,-0.199766877
525,-0.034722091
526,-0.847796525
528,-0.284647049
529,-0.075028505
534,-0.351668168
535,0.533747479
537,1.566686475
538,1.721330495
539,-1.357282852
540,1.501450976
545,-0.91037408
546,-1.03958983
547,-1.545135246
549,-0.353227967
551,0.948770853
552,-2.873489959
558,1.171851617
563,0.025026448
567,0.246326819
570,-0.536268399
571,-0.143137634
572,-0.014019298
573,1.962796796
574,0.04238155
578,1.058970674
580,-0.21509387
581,-0.492563676
582,-0.204602481
583,-1.582001444
585,0.536215739
586,-0.927725148
587,-0.076667356
590,-0.960875538
593,-1.718180579
594,-0.075031908
595,-0.03919603
597,-1.336601846
598,-0.152912216
599,0.506676118
602,0.37682204
604,-0.191586675
605,0.155168253
607,-0.02478539
608,1.335831411
610,0.399705872
611,-0.051113677
613,1.190973891
617,-0.191007114
622,1.426694271
623,0.308557851
624,-0.304969152
627,0.247192525
629,-0.350972696
631,0.104576466
634,0.066670699
635,0.287940242
636,0.329660175
637,0.353164354
639,1.226950933
640,-0.437455371
641,0.040481729
642,-1.617955789
643,-2.366492999
644,-0.189983486
645,0.157677446
646,-1.32942172
648,-0.125288823
649,-3.966736055
650,-3.588497582
651,0.277980061
652,1.417106797
653,-0.243136192
654,-0.654679102
655,-0.359061014
657,-1.401179223
658,0.5134959
659,0.892953516
660,-0.645297027
661,0.034709681
663,0.29733002
665,-2.055374884
666,-0.511728253
667,-2.011906991
669,0.605313839
670,0.011805271
671,-0.103227025
672,0.017253178
673,-0.207229672
675,-0.200349231
676,-0.111277765
677,0.286739203
678,-0.593394735
680,1.143761624
682,0.223948706
683,0.126114512
684,-3.364448281
685,0.790611805
686,-1.760946442
688,-0.143158853
689,1.757022658
690,-0.584332805
695,-0.174674458
696,-0.293204091
699,0.699839545
701,-0.277771726
705,-0.697977545
706,-0.872871533
708,0.161969333
710,0.62286206
715,0.226616196
716,-2.45791863
717,1.187270945
718,0.634636373
719,-0.033095374
